date,name,sick,healed,died,date_text
2020-04-10,Москва,7822,350,50,По состоянию на 10 апреля 10:30
2020-04-10,Московская область,930,66,13,По состоянию на 10 апреля 10:30
2020-04-10,Санкт-Петербург,408,43,4,По состоянию на 10 апреля 10:30
2020-04-10,Республика Коми,208,1,3,По состоянию на 10 апреля 10:30
2020-04-10,Ленинградская область,129,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Краснодарский край,125,15,3,По состоянию на 10 апреля 10:30
2020-04-10,Нижегородская область,119,14,1,По состоянию на 10 апреля 10:30
2020-04-10,Брянская область,97,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Тульская область,71,7,0,По состоянию на 10 апреля 10:30
2020-04-10,Мурманская область,67,5,0,По состоянию на 10 апреля 10:30
2020-04-10,Пензенская область,67,1,1,По состоянию на 10 апреля 10:30
2020-04-10,Республика Марий Эл,63,2,1,По состоянию на 10 апреля 10:30
2020-04-10,Калининградская область,62,9,0,По состоянию на 10 апреля 10:30
2020-04-10,Свердловская область,61,25,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Бурятия,60,12,1,По состоянию на 10 апреля 10:30
2020-04-10,Ивановская область,60,7,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Дагестан,58,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Липецкая область,55,9,0,По состоянию на 10 апреля 10:30
2020-04-10,Ставропольский край,52,6,1,По состоянию на 10 апреля 10:30
2020-04-10,Республика Татарстан,50,11,0,По состоянию на 10 апреля 10:30
2020-04-10,Пермский край,45,6,3,По состоянию на 10 апреля 10:30
2020-04-10,Владимирская область,42,0,1,По состоянию на 10 апреля 10:30
2020-04-10,Ямало-Ненецкий автономный округ,41,0,1,По состоянию на 10 апреля 10:30
2020-04-10,Ханты-Мансийский АО,41,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Башкортостан,40,6,0,По состоянию на 10 апреля 10:30
2020-04-10,Ульяновская область,40,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Красноярский край,39,8,0,По состоянию на 10 апреля 10:30
2020-04-10,Рязанская область,38,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Вологодская область,38,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Воронежская область,37,9,0,По состоянию на 10 апреля 10:30
2020-04-10,Саратовская область,34,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Челябинская область ,34,10,0,По состоянию на 10 апреля 10:30
2020-04-10,Тамбовская область,33,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Чувашия,32,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Ингушетия,29,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Ростовская область,29,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Кировская область,29,8,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Крым,29,7,0,По состоянию на 10 апреля 10:30
2020-04-10,Хабаровский край,28,6,1,По состоянию на 10 апреля 10:30
2020-04-10,Волгоградская область,28,5,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Северная Осетия — Алания,27,1,1,По состоянию на 10 апреля 10:30
2020-04-10,Кабардино-Балкарская Республика,27,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Белгородская область,26,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Оренбургская область,25,4,1,По состоянию на 10 апреля 10:30
2020-04-10,Орловская область,24,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Архангельская область,24,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Тверская область,24,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Калмыкия,23,5,0,По состоянию на 10 апреля 10:30
2020-04-10,Тюменская область,22,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Чеченская Республика,22,15,1,По состоянию на 10 апреля 10:30
2020-04-10,Курская область,21,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Алтайский край,21,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Астраханская область,21,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Иркутская область,21,0,2,По состоянию на 10 апреля 10:30
2020-04-10,Новосибирская область,21,8,0,По состоянию на 10 апреля 10:30
2020-04-10,Приморский край,20,2,2,По состоянию на 10 апреля 10:30
2020-04-10,Республика Адыгея,20,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Самарская область,20,11,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Мордовия,19,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Калужская область,18,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Новгородская область,18,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Омская область,17,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Саха (Якутия),16,10,0,По состоянию на 10 апреля 10:30
2020-04-10,Псковская область,16,5,2,По состоянию на 10 апреля 10:30
2020-04-10,Костромская область,15,3,1,По состоянию на 10 апреля 10:30
2020-04-10,Ярославская область,13,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Смоленская область,13,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Кемеровская область,11,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Удмуртская Республика,11,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Сахалинская область,11,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Карачаево-Черкесская Республика,9,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Хакасия,9,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Еврейская автономная область,8,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Тыва,6,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Камчатский край,5,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Севастополь,5,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Амурская область,4,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Томская область,4,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Забайкальский край,4,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Курганская область,3,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Карелия,2,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Магаданская область,1,1,0,По состоянию на 10 апреля 10:30
2020-04-12,Москва,8852,499,58,По состоянию на 11 апреля 11:15
2020-04-12,Московская область,1082,69,14,По состоянию на 11 апреля 11:15
2020-04-12,Санкт-Петербург,488,74,4,По состоянию на 11 апреля 11:15
2020-04-12,Республика Коми,208,1,3,По состоянию на 11 апреля 11:15
2020-04-12,Нижегородская область,152,14,1,По состоянию на 11 апреля 11:15
2020-04-12,Краснодарский край,138,25,3,По состоянию на 11 апреля 11:15
2020-04-12,Ленинградская область,134,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Брянская область,123,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Дагестан,84,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Свердловская область,74,32,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Татарстан,73,11,0,По состоянию на 11 апреля 11:15
2020-04-12,Тульская область,71,9,0,По состоянию на 11 апреля 11:15
2020-04-12,Мурманская область,67,6,0,По состоянию на 11 апреля 11:15
2020-04-12,Пензенская область,67,1,1,По состоянию на 11 апреля 11:15
2020-04-12,Ставропольский край,66,9,2,По состоянию на 11 апреля 11:15
2020-04-12,Республика Башкортостан,65,7,0,По состоянию на 11 апреля 11:15
2020-04-12,Калининградская область,65,12,1,По состоянию на 11 апреля 11:15
2020-04-12,Республика Марий Эл,63,3,1,По состоянию на 11 апреля 11:15
2020-04-12,Ульяновская область,62,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Ивановская область,62,7,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Бурятия,61,14,1,По состоянию на 11 апреля 11:15
2020-04-12,Красноярский край,60,8,0,По состоянию на 11 апреля 11:15
2020-04-12,Липецкая область,58,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Рязанская область,55,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Ямало-Ненецкий автономный округ,50,0,1,По состоянию на 11 апреля 11:15
2020-04-12,Владимирская область,48,1,1,По состоянию на 11 апреля 11:15
2020-04-12,Пермский край,45,15,3,По состоянию на 11 апреля 11:15
2020-04-12,Курская область,42,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Ханты-Мансийский АО,41,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Челябинская область ,40,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Вологодская область,39,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Чувашия,39,1,0,По состоянию на 11 апреля 11:15
2020-04-12,Ростовская область,38,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Воронежская область,37,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Саратовская область,35,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Кировская область,35,9,0,По состоянию на 11 апреля 11:15
2020-04-12,Волгоградская область,33,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Тамбовская область,33,6,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Калмыкия,32,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Тверская область,31,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Чеченская Республика,30,15,1,По состоянию на 11 апреля 11:15
2020-04-12,Тюменская область,30,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Кабардино-Балкарская Республика,30,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Орловская область,29,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Алтайский край,29,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Крым,29,7,0,По состоянию на 11 апреля 11:15
2020-04-12,Хабаровский край,29,7,2,По состоянию на 11 апреля 11:15
2020-04-12,Республика Ингушетия,29,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Новосибирская область,28,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Северная Осетия — Алания,27,1,1,По состоянию на 11 апреля 11:15
2020-04-12,Белгородская область,26,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Оренбургская область,25,4,1,По состоянию на 11 апреля 11:15
2020-04-12,Архангельская область,24,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Калужская область,24,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Приморский край,23,2,2,По состоянию на 11 апреля 11:15
2020-04-12,Иркутская область,23,0,2,По состоянию на 11 апреля 11:15
2020-04-12,Самарская область,21,14,0,По состоянию на 11 апреля 11:15
2020-04-12,Астраханская область,21,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Адыгея,20,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Мордовия,19,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Саха (Якутия),19,13,0,По состоянию на 11 апреля 11:15
2020-04-12,Новгородская область,18,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Омская область,17,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Смоленская область,17,1,0,По состоянию на 11 апреля 11:15
2020-04-12,Псковская область,16,6,2,По состоянию на 11 апреля 11:15
2020-04-12,Костромская область,15,3,1,По состоянию на 11 апреля 11:15
2020-04-12,Ярославская область,13,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Кемеровская область,12,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Хакасия,12,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Удмуртская Республика,11,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Сахалинская область,11,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Камчатский край,10,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Карачаево-Черкесская Республика,9,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Еврейская автономная область,8,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Амурская область,6,1,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Тыва,6,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Севастополь,6,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Томская область,4,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Забайкальский край,4,1,0,По состоянию на 11 апреля 11:15
2020-04-12,Курганская область,3,1,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Карелия,2,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Магаданская область,1,1,0,По состоянию на 11 апреля 11:15
